providedScientificName,taxonId,acceptedTaxonId,parentTaxonId,scientificName,canonicalName,authorship,status,acceptedScientificName,classification,kingdom,phylum,class,order,family,genus
Combretaceae,urn:lsid:marinespecies.org:taxname:235048,urn:lsid:marinespecies.org:taxname:235048,urn:lsid:marinespecies.org:taxname:234500,Combretaceae,Combretaceae,,accepted,Combretaceae,"ORDER:Myrtales Juss. ex Bercht. & J.Presl, 1820|SUPERORDER:Rosanae Takht., 1967|CLASS:Magnoliopsida|SUBPHYLUM:Spermatophytina|PHYLUM:Tracheophyta Sinnott ex Cavalier-Smith, 1998|INFRAKINGDOM:Streptophyta John, Williamson & Guiry, 2011|SUBKINGDOM:Viridiplantae Cavalier-Smith, 1981|KINGDOM:Plantae Haeckel, 1866|UNRANKED:Biota","Plantae Haeckel, 1866","Tracheophyta Sinnott ex Cavalier-Smith, 1998",Magnoliopsida,"Myrtales Juss. ex Bercht. & J.Presl, 1820",,
Avicennia,urn:lsid:marinespecies.org:taxname:235033,urn:lsid:marinespecies.org:taxname:235033,urn:lsid:marinespecies.org:taxname:344737,Avicennia L.,Avicennia,L.,accepted,Avicennia L.,"FAMILY:Acanthaceae|ORDER:Lamiales Bromhead, 1838|SUPERORDER:Asteranae Takht., 1967|CLASS:Magnoliopsida|SUBPHYLUM:Spermatophytina|PHYLUM:Tracheophyta Sinnott ex Cavalier-Smith, 1998|INFRAKINGDOM:Streptophyta John, Williamson & Guiry, 2011|SUBKINGDOM:Viridiplantae Cavalier-Smith, 1981|KINGDOM:Plantae Haeckel, 1866|UNRANKED:Biota","Plantae Haeckel, 1866","Tracheophyta Sinnott ex Cavalier-Smith, 1998",Magnoliopsida,"Lamiales Bromhead, 1838",Acanthaceae,Avicennia
Nypa,urn:lsid:marinespecies.org:taxname:234450,urn:lsid:marinespecies.org:taxname:234450,urn:lsid:marinespecies.org:taxname:234449,Nypa Steck,Nypa,Steck,accepted,Nypa Steck,"FAMILY:Arecaceae|ORDER:Arecales Bromhead, 1840|SUPERORDER:Lilianae Takht., 1967|CLASS:Magnoliopsida|SUBPHYLUM:Spermatophytina|PHYLUM:Tracheophyta Sinnott ex Cavalier-Smith, 1998|INFRAKINGDOM:Streptophyta John, Williamson & Guiry, 2011|SUBKINGDOM:Viridiplantae Cavalier-Smith, 1981|KINGDOM:Plantae Haeckel, 1866|UNRANKED:Biota","Plantae Haeckel, 1866","Tracheophyta Sinnott ex Cavalier-Smith, 1998",Magnoliopsida,"Arecales Bromhead, 1840",Arecaceae,Nypa
Bruguiera,urn:lsid:marinespecies.org:taxname:234495,urn:lsid:marinespecies.org:taxname:234495,urn:lsid:marinespecies.org:taxname:234494,Bruguiera Lam.,Bruguiera,Lam.,accepted,Bruguiera Lam.,"FAMILY:Rhizophoraceae|ORDER:Malpighiales Juss. ex Bercht. & J.Presl, 1820|SUPERORDER:Rosanae Takht., 1967|CLASS:Magnoliopsida|SUBPHYLUM:Spermatophytina|PHYLUM:Tracheophyta Sinnott ex Cavalier-Smith, 1998|INFRAKINGDOM:Streptophyta John, Williamson & Guiry, 2011|SUBKINGDOM:Viridiplantae Cavalier-Smith, 1981|KINGDOM:Plantae Haeckel, 1866|UNRANKED:Biota","Plantae Haeckel, 1866","Tracheophyta Sinnott ex Cavalier-Smith, 1998",Magnoliopsida,"Malpighiales Juss. ex Bercht. & J.Presl, 1820",Rhizophoraceae,Bruguiera
Ceriops,urn:lsid:marinespecies.org:taxname:235086,urn:lsid:marinespecies.org:taxname:235086,urn:lsid:marinespecies.org:taxname:234494,Ceriops Arn.,Ceriops,Arn.,accepted,Ceriops Arn.,"FAMILY:Rhizophoraceae|ORDER:Malpighiales Juss. ex Bercht. & J.Presl, 1820|SUPERORDER:Rosanae Takht., 1967|CLASS:Magnoliopsida|SUBPHYLUM:Spermatophytina|PHYLUM:Tracheophyta Sinnott ex Cavalier-Smith, 1998|INFRAKINGDOM:Streptophyta John, Williamson & Guiry, 2011|SUBKINGDOM:Viridiplantae Cavalier-Smith, 1981|KINGDOM:Plantae Haeckel, 1866|UNRANKED:Biota","Plantae Haeckel, 1866","Tracheophyta Sinnott ex Cavalier-Smith, 1998",Magnoliopsida,"Malpighiales Juss. ex Bercht. & J.Presl, 1820",Rhizophoraceae,Ceriops
Kandelia,urn:lsid:marinespecies.org:taxname:235089,urn:lsid:marinespecies.org:taxname:235089,urn:lsid:marinespecies.org:taxname:234494,Kandelia Wight & Arn.,Kandelia,Wight & Arn.,accepted,Kandelia Wight & Arn.,"FAMILY:Rhizophoraceae|ORDER:Malpighiales Juss. ex Bercht. & J.Presl, 1820|SUPERORDER:Rosanae Takht., 1967|CLASS:Magnoliopsida|SUBPHYLUM:Spermatophytina|PHYLUM:Tracheophyta Sinnott ex Cavalier-Smith, 1998|INFRAKINGDOM:Streptophyta John, Williamson & Guiry, 2011|SUBKINGDOM:Viridiplantae Cavalier-Smith, 1981|KINGDOM:Plantae Haeckel, 1866|UNRANKED:Biota","Plantae Haeckel, 1866","Tracheophyta Sinnott ex Cavalier-Smith, 1998",Magnoliopsida,"Malpighiales Juss. ex Bercht. & J.Presl, 1820",Rhizophoraceae,Kandelia
Rhizophora,urn:lsid:marinespecies.org:taxname:235091,urn:lsid:marinespecies.org:taxname:235091,urn:lsid:marinespecies.org:taxname:234494,Rhizophora L.,Rhizophora,L.,accepted,Rhizophora L.,"FAMILY:Rhizophoraceae|ORDER:Malpighiales Juss. ex Bercht. & J.Presl, 1820|SUPERORDER:Rosanae Takht., 1967|CLASS:Magnoliopsida|SUBPHYLUM:Spermatophytina|PHYLUM:Tracheophyta Sinnott ex Cavalier-Smith, 1998|INFRAKINGDOM:Streptophyta John, Williamson & Guiry, 2011|SUBKINGDOM:Viridiplantae Cavalier-Smith, 1981|KINGDOM:Plantae Haeckel, 1866|UNRANKED:Biota","Plantae Haeckel, 1866","Tracheophyta Sinnott ex Cavalier-Smith, 1998",Magnoliopsida,"Malpighiales Juss. ex Bercht. & J.Presl, 1820",Rhizophoraceae,Rhizophora
Sonneratia,urn:lsid:marinespecies.org:taxname:235106,urn:lsid:marinespecies.org:taxname:235106,urn:lsid:marinespecies.org:taxname:235059,Sonneratia L.f.,Sonneratia,L.f.,accepted,Sonneratia L.f.,"FAMILY:Lythraceae|ORDER:Myrtales Juss. ex Bercht. & J.Presl, 1820|SUPERORDER:Rosanae Takht., 1967|CLASS:Magnoliopsida|SUBPHYLUM:Spermatophytina|PHYLUM:Tracheophyta Sinnott ex Cavalier-Smith, 1998|INFRAKINGDOM:Streptophyta John, Williamson & Guiry, 2011|SUBKINGDOM:Viridiplantae Cavalier-Smith, 1981|KINGDOM:Plantae Haeckel, 1866|UNRANKED:Biota","Plantae Haeckel, 1866","Tracheophyta Sinnott ex Cavalier-Smith, 1998",Magnoliopsida,"Myrtales Juss. ex Bercht. & J.Presl, 1820",Lythraceae,Sonneratia
Excoecaria ,urn:lsid:marinespecies.org:taxname:235056,urn:lsid:marinespecies.org:taxname:235056,urn:lsid:marinespecies.org:taxname:235055,Excoecaria L.,Excoecaria,L.,accepted,Excoecaria L.,"FAMILY:Euphorbiaceae|ORDER:Malpighiales Juss. ex Bercht. & J.Presl, 1820|SUPERORDER:Rosanae Takht., 1967|CLASS:Magnoliopsida|SUBPHYLUM:Spermatophytina|PHYLUM:Tracheophyta Sinnott ex Cavalier-Smith, 1998|INFRAKINGDOM:Streptophyta John, Williamson & Guiry, 2011|SUBKINGDOM:Viridiplantae Cavalier-Smith, 1981|KINGDOM:Plantae Haeckel, 1866|UNRANKED:Biota","Plantae Haeckel, 1866","Tracheophyta Sinnott ex Cavalier-Smith, 1998",Magnoliopsida,"Malpighiales Juss. ex Bercht. & J.Presl, 1820",Euphorbiaceae,Excoecaria 
Pemphis,urn:lsid:marinespecies.org:taxname:235060,urn:lsid:marinespecies.org:taxname:235060,urn:lsid:marinespecies.org:taxname:235059,Pemphis J.R.Forst. & G.Forst.,Pemphis,J.R.Forst. & G.Forst.,accepted,Pemphis J.R.Forst. & G.Forst.,"FAMILY:Lythraceae|ORDER:Myrtales Juss. ex Bercht. & J.Presl, 1820|SUPERORDER:Rosanae Takht., 1967|CLASS:Magnoliopsida|SUBPHYLUM:Spermatophytina|PHYLUM:Tracheophyta Sinnott ex Cavalier-Smith, 1998|INFRAKINGDOM:Streptophyta John, Williamson & Guiry, 2011|SUBKINGDOM:Viridiplantae Cavalier-Smith, 1981|KINGDOM:Plantae Haeckel, 1866|UNRANKED:Biota","Plantae Haeckel, 1866","Tracheophyta Sinnott ex Cavalier-Smith, 1998",Magnoliopsida,"Myrtales Juss. ex Bercht. & J.Presl, 1820",Lythraceae,Pemphis
